"Reference","Value","Datasheet","Footprint","Quantity 1","DNP","LCSC","Mouser Part Number","Part URL","Vendor"
"C9,C11,C13","1n (Foil)","~","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","3",,,"80-R82EC1100SH50J ","https://mou.sr/3ZRLX4F","Mouser"
"C17","470n (foil)","~","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","1",,,"80-R82EC1470DQ50K ","https://mou.sr/4g5F5Xb","Mouser"
"C18","1u (Foil)","~","Capacitor_THT:C_Rect_L7.0mm_W4.5mm_P5.00mm","1",,,"80-R82EC4100Z370K ","https://mou.sr/3ZROEn2","Mouser"
"J1","Eurorack Power","~","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1",,,"737-RS2-10-G ","https://mou.sr/3ZTZokP","Mouser"
"J3","Conn_02x08_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","1",,,"737-RS2-16-G ","https://mou.sr/3DcrsXN","Mouser"
"JP_INT_EXT1","Internal/External CV","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",,,"737-PH1-20-UA ","https://mou.sr/4gqTRHQ","Mouser"
"Q1","BC547B","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline_Wide","1",,,"637-BC547B ","https://mou.sr/49DWqUL","Mouser"
"R3","6.8k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",,,"303-MF0W4FF6801B00 ","https://mou.sr/4gAS3Mw","Mouser"
"R4","3.3k","~","Shmoergh_Custom_Footprints:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",,,"303-CFR0W4J0332B00 ","https://mou.sr/41AgNQH","Mouser"
"RV_BALANCE1","1k","~","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","1",,,"531-PT6KH-1K ","https://mou.sr/3DgNY1x","Mouser"
"RV_BIAS1","10k","~","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","1",,,"531-PT6KH-10K ","https://mou.sr/49CavSt","Mouser"
"RV_MAX_RESO1","100k","~","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","1",,,"531-PT6KH104A1010PM ","https://mou.sr/3OVlmh2","Mouser"
